Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),2,581
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),3,581
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),4,581
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),5,580
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),6,581
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),7,581
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),8,581
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),9,581
DAKAR,BISCUITERIE,ECOLE AMADOU WORE DIAGNE (BOPP),10,580
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,1,589
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,2,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,3,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,4,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,5,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,6,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,7,587
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,8,589
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,9,587
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,10,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,11,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,12,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,13,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,14,589
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,15,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,16,587
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,17,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,18,588
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,19,587
DAKAR,BISCUITERIE,ECOLE BISCUITERIE,20,587
