Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
BAMBEY,BABA GARAGE,BABA GARAGE 1,1,500
BAMBEY,BABA GARAGE,BABA GARAGE 1,2,500
BAMBEY,BABA GARAGE,BABA GARAGE 1,3,499
BAMBEY,BABA GARAGE,BABA GARAGE 1,4,499
BAMBEY,BABA GARAGE,BABA GARAGE 1,5,499
BAMBEY,BABA GARAGE,DAROU BAKHOUM,1,318
BAMBEY,BABA GARAGE,DAROU NGUER,1,280
BAMBEY,BABA GARAGE,GNICK,1,357
BAMBEY,BABA GARAGE,KEUR OUSMANE KANE,1,561
BAMBEY,BABA GARAGE,KHAYE NDIAYE,1,262
BAMBEY,BABA GARAGE,MBAKHE,1,208
BAMBEY,BABA GARAGE,NDARY DIOP,1,466
BAMBEY,BABA GARAGE,NDIABY,1,252
BAMBEY,BABA GARAGE,NDIOBEL,1,342
BAMBEY,BABA GARAGE,SAM-SAM,1,356
BAMBEY,BABA GARAGE,TAWA FALL,1,340
BAMBEY,BABA GARAGE,TAWA FALL,2,338
BAMBEY,BABA GARAGE,THIEUL FANAYE,1,325
BAMBEY,BAMBEY,ECOLE 2,1,598
BAMBEY,BAMBEY,ECOLE 2,2,600
BAMBEY,BAMBEY,ECOLE 2,3,598
BAMBEY,BAMBEY,ECOLE 2,4,472
BAMBEY,BAMBEY,ECOLE 2,5,471
BAMBEY,BAMBEY,ECOLE 3,1,574
BAMBEY,BAMBEY,ECOLE 3,2,574
BAMBEY,BAMBEY,ECOLE 3,3,574
BAMBEY,BAMBEY,ECOLE 3,4,452
BAMBEY,BAMBEY,ECOLE 4,1,561
BAMBEY,BAMBEY,ECOLE 4,2,561
BAMBEY,BAMBEY,ECOLE 4,3,561
BAMBEY,BAMBEY,ECOLE 4,4,561
BAMBEY,BAMBEY,ECOLE 4,5,561
BAMBEY,BAMBEY,ECOLE 4,6,561
BAMBEY,BAMBEY,ECOLE 5,1,600
BAMBEY,BAMBEY,ECOLE 5,2,598
BAMBEY,BAMBEY,ECOLE 5,3,383
BAMBEY,BAMBEY,ECOLE ANNEXE,1,418
BAMBEY,BAMBEY,ECOLE ANNEXE,2,417
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,1,598
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,2,599
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,3,597
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,4,504
BAMBEY,BAMBEY,ECOLE CHEIKH AWA BALLA MBACKE,5,503
BAMBEY,BAMBEY,MAIRIE,1,600
BAMBEY,BAMBEY,MAIRIE,2,600
BAMBEY,BAMBEY,MAIRIE,3,452
BAMBEY,DANGALMA,BABACK DIOMEGOR,1,574
BAMBEY,DANGALMA,BABACK DIOMEGOR,2,87
BAMBEY,DANGALMA,BAMBEY SERERE,1,450
BAMBEY,DANGALMA,BAMBEY SERERE,2,450
BAMBEY,DANGALMA,DADACK,1,483
BAMBEY,DANGALMA,DANGALMA,1,574
BAMBEY,DANGALMA,DANGALMA,2,574
BAMBEY,DANGALMA,DANGALMA,3,574
BAMBEY,DANGALMA,DANGALMA,4,387
BAMBEY,DANGALMA,DANGALMA 2,1,570
BAMBEY,DANGALMA,DANGALMA 2,2,67
BAMBEY,DANGALMA,DIARIGNE,1,589
BAMBEY,DANGALMA,ECOLE SINDIANE (EX SEO SINDIANE),1,520
BAMBEY,DANGALMA,GATT DIOCOUL 1,1,449
BAMBEY,DANGALMA,GATT DIOCOUL 1,2,448
BAMBEY,DANGALMA,GATT GALLO,1,572
BAMBEY,DANGALMA,GATT GALLO,2,571
BAMBEY,DANGALMA,GATT NGARAFF 1,1,444
BAMBEY,DANGALMA,GATT NGARAFF 1,2,444
BAMBEY,DANGALMA,GATT NGARAFF 1,3,444
BAMBEY,DANGALMA,KEUR GALLO,1,251
BAMBEY,DANGALMA,MERINA,1,516
BAMBEY,DANGALMA,NDIADIANE,1,566
BAMBEY,DANGALMA,NDIOBENE NGOYE,1,187
BAMBEY,DANGALMA,NGOKHOTHIE,1,393
BAMBEY,DANGALMA,NGOKHOTHIE EX LAMBAYE,1,229
BAMBEY,DANGALMA,NGUEME YADIAMA,1,226
BAMBEY,DANGALMA,NGUITHIE PEYE,1,393
BAMBEY,DANGALMA,SANGHAYE,1,286
BAMBEY,DANGALMA,TALLAGNE,1,449
BAMBEY,DINGUIRAYE (BAMBEY),BARIDIAME,1,305
BAMBEY,DINGUIRAYE (BAMBEY),DINGUIRAYE,1,540
BAMBEY,DINGUIRAYE (BAMBEY),GOLL,1,236
BAMBEY,DINGUIRAYE (BAMBEY),GRAME,1,495
BAMBEY,DINGUIRAYE (BAMBEY),KANGHARLO,1,219
BAMBEY,DINGUIRAYE (BAMBEY),KEUR MADIOP,1,370
BAMBEY,DINGUIRAYE (BAMBEY),KEUR MADIOP,2,370
BAMBEY,DINGUIRAYE (BAMBEY),MBAYE,1,108
BAMBEY,DINGUIRAYE (BAMBEY),NDIANE 1,1,182
BAMBEY,DINGUIRAYE (BAMBEY),THIAYTOU,1,523
BAMBEY,DINGUIRAYE (BAMBEY),THIOKHOL,1,235
BAMBEY,DINGUIRAYE (BAMBEY),TOUNGHOR,1,242
BAMBEY,GAWANE,DAROU KHOUDOSS,1,330
BAMBEY,GAWANE,GAPP,1,200
BAMBEY,GAWANE,GAWANE ESCALE,1,392
BAMBEY,GAWANE,GAWANE ESCALE,2,391
BAMBEY,GAWANE,GAWANE MBACKE,1,408
BAMBEY,GAWANE,GAWANE MBACKE,2,409
BAMBEY,GAWANE,KEUR DIEUMB DIA,1,215
BAMBEY,GAWANE,LANGAR DEUNE,1,384
BAMBEY,GAWANE,LANGAR PEYE,1,273
BAMBEY,GAWANE,NDIEYENE THIALAO,1,315
BAMBEY,GAWANE,NDIEYENE THIALAO,2,315
BAMBEY,GAWANE,NGOKARE SOW 1,1,213
BAMBEY,GAWANE,PEYE BOUNGHOYE,1,185
BAMBEY,GAWANE,SARR,1,500
BAMBEY,KEUR SAMBA KANE,FASSEL,1,313
BAMBEY,KEUR SAMBA KANE,GANDAL,1,304
BAMBEY,KEUR SAMBA KANE,GANDAL,2,303
BAMBEY,KEUR SAMBA KANE,GAYAME,1,366
BAMBEY,KEUR SAMBA KANE,GAYAME,2,366
BAMBEY,KEUR SAMBA KANE,GOLBY ASSANE,1,264
BAMBEY,KEUR SAMBA KANE,GOLBY ASSANE,2,263
BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 1,1,581
BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 1,2,581
BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 2,1,360
BAMBEY,KEUR SAMBA KANE,KEUR SAMBA KANE 2,2,360
BAMBEY,KEUR SAMBA KANE,NDIAMSYL PEYE,1,233
BAMBEY,KEUR SAMBA KANE,NDIAMSYL PEYE,2,233
BAMBEY,KEUR SAMBA KANE,NDIARAO,1,292
BAMBEY,KEUR SAMBA KANE,NDIARAO,2,291
BAMBEY,KEUR SAMBA KANE,NDIARNO RICADJI 1,1,262
BAMBEY,KEUR SAMBA KANE,NDIARNO RICADJI 1,2,261
BAMBEY,KEUR SAMBA KANE,NDIAYE DANKHE,1,435
BAMBEY,KEUR SAMBA KANE,NDIOUDIOUF,1,538
BAMBEY,KEUR SAMBA KANE,THIALLE MABOUR,1,324
BAMBEY,LAMBAYE,KALOME,1,117
BAMBEY,LAMBAYE,KEUR SAMBA GAYE,1,383
BAMBEY,LAMBAYE,KEUR SEGUE NDIAYE,1,511
BAMBEY,LAMBAYE,LAMBAYE ESCALE,1,428
BAMBEY,LAMBAYE,LAMBAYE ESCALE,2,428
BAMBEY,LAMBAYE,MAKA TASSAR,1,237
BAMBEY,LAMBAYE,MBADIANE GORA,1,283
BAMBEY,LAMBAYE,MBADIANE SAMBA AWA,1,349
BAMBEY,LAMBAYE,MBALMY,1,382
BAMBEY,LAMBAYE,MBALMY,2,380
BAMBEY,LAMBAYE,MBOTAL LAMBAYE,1,374
BAMBEY,LAMBAYE,MBOUBANE,1,280
BAMBEY,LAMBAYE,MBOUSSO,1,527
BAMBEY,LAMBAYE,MEKHE,1,547
BAMBEY,LAMBAYE,MEKHE,2,546
BAMBEY,LAMBAYE,NDIARGA LAMBAYE,1,409
BAMBEY,LAMBAYE,NDONDOL CODOU NGOYE,1,433
BAMBEY,LAMBAYE,NGANDIAL,1,272
BAMBEY,LAMBAYE,NIAKHAPPE,1,239
