Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
AFRIQUE DU SUD,CAP TOWN,CAP TOWN,1,302
AFRIQUE DU SUD,DURBAN,DURBAN,1,286
AFRIQUE DU SUD,JOHANESBOURG,JOHANESBOURG,1,414
AFRIQUE DU SUD,JOHANESBOURG,JOHANESBOURG,2,414
AFRIQUE DU SUD,JOHANESBOURG,JOHANESBOURG,3,415
AFRIQUE DU SUD,PORT ELISABETH,PORT ELISABETH,1,252
AFRIQUE DU SUD,PRETORIA,PRETORIA,1,131
ALLEMAGNE,BERLIN,BERLIN,1,249
ALLEMAGNE,DUSSELDORF,DUSSELDORF,1,161
ALLEMAGNE,FRANCFORT,FRANCFORT,1,58
ALLEMAGNE,HAMBOURG,HAMBOURG,1,144
ALLEMAGNE,MUNICH,MUNICH,1,245
ALLEMAGNE,STUTTGART,STUTTGART,1,50
ANGLETERRE,BIRMINGHAM,BIRMINGHAM,1,123
ANGLETERRE,LONDRES,LONDRES,1,397
ANGLETERRE,LONDRES,LONDRES,2,395
ANGLETERRE,MANCHESTER,MANCHESTER,1,229
ANGOLA,LUANDA,LUANDA,1,492
ARABIE SAOUDITE,DJEDDAH,DJEDDAH,1,416
ARABIE SAOUDITE,DJEDDAH,DJEDDAH,2,417
ARABIE SAOUDITE,DJEDDAH,DJEDDAH,3,415
ARABIE SAOUDITE,RIYAD,RIYAD,1,433
ARABIE SAOUDITE,RIYAD,RIYAD,2,431
BELGIQUE,ANVERS,ANVERS,1,454
BELGIQUE,BRUXELLES,BRUXELLES,1,433
BELGIQUE,BRUXELLES,BRUXELLES,2,432
BELGIQUE,BRUXELLES,BRUXELLES,3,430
BENIN,COTONOU,COTONOU,1,471
BENIN,COTONOU,COTONOU,2,471
BURKINA FASO,BOBODIOULASSO,BOBODIOULASSO,1,154
BURKINA FASO,KOUDOUGOU,KOUDOUGOU,1,27
BURKINA FASO,OUAGADOUGOU,OUAGADOUGOU,1,571
BURKINA FASO,OUAGADOUGOU,OUAGADOUGOU,2,573
CAMEROUN,DOUALA,DOUALA,1,420
CAMEROUN,DOUALA,DOUALA,2,421
CAMEROUN,YAOUNDE,YAOUNDE,1,462
CAMEROUN,YAOUNDE,YAOUNDE,2,464
CAMEROUN,YAOUNDE,YAOUNDE,3,466
CAMEROUN,YAOUNDE,YAOUNDE,4,464
CANADA,EDMONTON,EDMONTON,1,197
CANADA,MONTREAL,MONTREAL,1,509
CANADA,MONTREAL,MONTREAL,2,510
CANADA,MONTREAL,MONTREAL,3,510
CANADA,MONTREAL,MONTREAL,4,510
CANADA,OTTAWA,OTTAWA,1,362
CANADA,QUEBEC,QUEBEC,1,389
CANADA,TORONTO,TORONTO,1,144
CANADA,WINNIPEG,WINNIPEG,1,158
CAP VERT,BAO VISTA,BAO VISTA,1,349
CAP VERT,PRAIA,PRAIA,1,549
CAP VERT,PRAIA,PRAIA,2,546
CAP VERT,SAL,SAL,1,525
CAP VERT,SAO VICENTE,SAO VICENTE,1,97
COTE D'IVOIRE,ABENGOUROU,ABENGOUROU,1,149
COTE D'IVOIRE,ABENGOUROU,ADZOPE,1,33
COTE D'IVOIRE,ABENGOUROU,AGNIBILEKRO,1,11
COTE D'IVOIRE,ABIDJAN,ABOBO GARE,1,566
COTE D'IVOIRE,ABIDJAN,ABOBO GARE,2,567
COTE D'IVOIRE,ABIDJAN,ABOISSO,1,113
COTE D'IVOIRE,ABIDJAN,ADJAME 1,1,583
COTE D'IVOIRE,ABIDJAN,ADJAME 1,2,583
COTE D'IVOIRE,ABIDJAN,ADJAME 1,3,585
COTE D'IVOIRE,ABIDJAN,ADJAME 1,4,584
COTE D'IVOIRE,ABIDJAN,ADJAME 2,1,312
COTE D'IVOIRE,ABIDJAN,ADJAME 3,1,303
COTE D'IVOIRE,ABIDJAN,ADJAME 3,2,303
COTE D'IVOIRE,ABIDJAN,ANYAMA,1,83
COTE D'IVOIRE,ABIDJAN,BINGERVILLE,1,131
COTE D'IVOIRE,ABIDJAN,DABOU,1,145
COTE D'IVOIRE,ABIDJAN,GRAND BASSAM,1,119
COTE D'IVOIRE,ABIDJAN,JACQUEVILLE,1,26
COTE D'IVOIRE,ABIDJAN,KOUMASSI,1,473
COTE D'IVOIRE,ABIDJAN,KOUMASSI,2,473
COTE D'IVOIRE,ABIDJAN,KOUMASSI,3,472
COTE D'IVOIRE,ABIDJAN,LOKODJORO,1,144
COTE D'IVOIRE,ABIDJAN,MARCORY,1,401
COTE D'IVOIRE,ABIDJAN,MARCORY,2,400
COTE D'IVOIRE,ABIDJAN,MARCORY,3,398
COTE D'IVOIRE,ABIDJAN,NDOUCI,1,20
COTE D'IVOIRE,ABIDJAN,PLATEAU,1,418
COTE D'IVOIRE,ABIDJAN,PLATEAU,2,416
COTE D'IVOIRE,ABIDJAN,PORT BOUET,1,480
COTE D'IVOIRE,ABIDJAN,PORT BOUET,2,479
COTE D'IVOIRE,ABIDJAN,TREICHVILLE,1,593
COTE D'IVOIRE,ABIDJAN,TREICHVILLE,2,594
COTE D'IVOIRE,ABIDJAN,TREICHVILLE,3,593
COTE D'IVOIRE,ABIDJAN,TREICHVILLE,4,594
COTE D'IVOIRE,ABIDJAN,TREICHVILLE,5,592
COTE D'IVOIRE,ABIDJAN,YOPOUGON,1,393
COTE D'IVOIRE,ABIDJAN,YOPOUGON,2,392
COTE D'IVOIRE,AGBOVILLE,AGBOVILLE,1,139
COTE D'IVOIRE,BONDOUKOU,BONDOUKOU,1,62
COTE D'IVOIRE,BONDOUKOU,TANDA,1,20
COTE D'IVOIRE,BOUAKE,BEOUMI,1,73
COTE D'IVOIRE,BOUAKE,BOUAKE,1,438
COTE D'IVOIRE,BOUAKE,BOUAKE,2,439
COTE D'IVOIRE,BOUAKE,KATIOLA,1,36
COTE D'IVOIRE,BOUNDIALI,BOUNDIALI,1,42
COTE D'IVOIRE,DALOA,BOUAFLE,1,104
COTE D'IVOIRE,DALOA,DALOA,1,259
COTE D'IVOIRE,DALOA,ISSIA,1,90
COTE D'IVOIRE,DALOA,SINFRA,1,74
COTE D'IVOIRE,DALOA,VAVOUA,1,78
COTE D'IVOIRE,DUEKOUE,DUEKOUE,1,107
COTE D'IVOIRE,GAGNOA,DIVO,1,419
COTE D'IVOIRE,GAGNOA,GAGNOA,1,449
COTE D'IVOIRE,GAGNOA,LAKOTA,1,87
COTE D'IVOIRE,GAGNOA,SOUBRE,1,108
COTE D'IVOIRE,KORHOGO,KORHOGO,1,245
COTE D'IVOIRE,SAN PEDRO,SAN PEDRO,1,279
COTE D'IVOIRE,SAN PEDRO,SASSANDRA,1,45
COTE D'IVOIRE,SEGUELA,DANANE,1,63
COTE D'IVOIRE,SEGUELA,MAN,1,244
COTE D'IVOIRE,SEGUELA,ODIENNE,1,100
COTE D'IVOIRE,SEGUELA,SEGUELA,1,125
COTE D'IVOIRE,YAMOUSSOUKRO,DIMBOKRO,1,73
COTE D'IVOIRE,YAMOUSSOUKRO,TOUMODI,1,141
COTE D'IVOIRE,YAMOUSSOUKRO,YAMOUSSOUKRO,1,478
COTE D'IVOIRE,YAMOUSSOUKRO,YAMOUSSOUKRO,2,480
EGYPTE,CAIRE,CAIRE CHANCELLERIE,1,484
ESPAGNE,ALBACETE,ALBACETE,1,244
ESPAGNE,ALGESIRAS,ALGESIRAS,1,73
ESPAGNE,ALICANTE,ALICANTE,1,493
ESPAGNE,ALMERIA,ALMERIA,1,475
ESPAGNE,ALMERIA,ALMERIA,2,477
ESPAGNE,BADAJOZ,BADAJOZ,1,6
ESPAGNE,BARCELONA,BARCELONA,1,404
ESPAGNE,BARCELONA,BARCELONA,2,404
ESPAGNE,BARCELONA,BARCELONA,3,403
ESPAGNE,BILBAO,BILBAO,1,444
ESPAGNE,BILBAO,BILBAO,2,445
ESPAGNE,BILBAO,BILBAO,3,441
ESPAGNE,BURGOS,BURGOS,1,105
ESPAGNE,CADIZ,CADIZ,1,152
