Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
GUINGUINEO,DARA MBOSS,DARA DIACKE,1,385
GUINGUINEO,DARA MBOSS,DARA MBOSS,1,391
GUINGUINEO,DARA MBOSS,DARA THISSE,1,212
GUINGUINEO,DARA MBOSS,MBOSSEDJI BARA,1,266
GUINGUINEO,DARA MBOSS,NDAWENE,1,171
GUINGUINEO,DARA MBOSS,PETEIGNE,1,63
GUINGUINEO,DARA MBOSS,THIADIA MBOSS,1,227
GUINGUINEO,DARA MBOSS,YOUGOURE MASS,1,289
GUINGUINEO,FASS,FASS KANE,1,496
GUINGUINEO,FASS,FASS KANE,2,499
GUINGUINEO,FASS,FASS KANE,3,498
GUINGUINEO,FASS,FASS KOFFE,1,548
GUINGUINEO,FASS,FASS KOFFE,2,90
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,1,539
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,2,538
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,3,537
GUINGUINEO,GUINGUINEO,ECOLE EL HADJI FODE DIOUF,4,325
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,1,557
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,2,556
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,3,556
GUINGUINEO,GUINGUINEO,ECOLE ELH.DOUDOU KANTE,4,375
GUINGUINEO,GUINGUINEO,ECOLE FARABOUGOU,1,348
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,1,600
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,2,598
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,3,599
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,4,599
GUINGUINEO,GUINGUINEO,ECOLE MOUSTAPHA SARR,5,466
GUINGUINEO,GUINGUINEO,MAIRIE,1,600
GUINGUINEO,GUINGUINEO,MAIRIE,2,599
GUINGUINEO,GUINGUINEO,MAIRIE,3,600
GUINGUINEO,GUINGUINEO,MAIRIE,4,435
GUINGUINEO,KHELCOM BIRAME,BACK SAMBA DIOR,1,203
GUINGUINEO,KHELCOM BIRAME,DAGA SAMBARE,1,141
GUINGUINEO,KHELCOM BIRAME,DAROU BACK,1,219
GUINGUINEO,KHELCOM BIRAME,DIAGLE NGOR,1,272
GUINGUINEO,KHELCOM BIRAME,KHAYOKHE,1,353
GUINGUINEO,KHELCOM BIRAME,KHELCOM,1,364
GUINGUINEO,KHELCOM BIRAME,KHELCOM,2,364
GUINGUINEO,KHELCOM BIRAME,NDOFFANE COLY,1,295
GUINGUINEO,KHELCOM BIRAME,NDOFFANE TANEWAR,1,167
GUINGUINEO,KHELCOM BIRAME,NGUEKOKH,1,536
GUINGUINEO,KHELCOM BIRAME,SAME,1,130
GUINGUINEO,KHELCOM BIRAME,SATE WALI,1,281
GUINGUINEO,KHELCOM BIRAME,THIAKALAR,1,272
GUINGUINEO,KHELCOM BIRAME,THIAKALAR,2,271
GUINGUINEO,KHELCOM BIRAME,THIOLONGANE,1,64
GUINGUINEO,KHELCOM BIRAME,WARDIAKHAL,1,313
GUINGUINEO,KHELCOM BIRAME,WARDIAKHAL,2,313
GUINGUINEO,MBADAKHOUNE,GNOLANEME,1,600
GUINGUINEO,MBADAKHOUNE,GNOLANEME,2,358
GUINGUINEO,MBADAKHOUNE,GNOLANEME,3,358
GUINGUINEO,MBADAKHOUNE,KEBE,1,265
GUINGUINEO,MBADAKHOUNE,KONGOLI,1,431
GUINGUINEO,MBADAKHOUNE,KONGOLI,2,178
GUINGUINEO,MBADAKHOUNE,LOUKI SEANE,1,254
GUINGUINEO,MBADAKHOUNE,MACKA KAHONE,1,371
GUINGUINEO,MBADAKHOUNE,MACKA KAHONE,2,370
GUINGUINEO,MBADAKHOUNE,MBABOUMI,1,347
GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,1,474
GUINGUINEO,MBADAKHOUNE,MBADAKHOUNE,2,473
GUINGUINEO,MBADAKHOUNE,MBOULEME,1,158
GUINGUINEO,MBADAKHOUNE,NDOUR NDOUR,1,227
GUINGUINEO,MBADAKHOUNE,PAFFA,1,207
GUINGUINEO,MBADAKHOUNE,PALADO,1,190
GUINGUINEO,MBADAKHOUNE,PARACELLE,1,371
GUINGUINEO,MBADAKHOUNE,SAVILA,1,155
GUINGUINEO,MBOSS,MBOSS ESCALE,1,407
GUINGUINEO,MBOSS,MBOSS ESCALE,2,407
GUINGUINEO,MBOSS,MBOSS MOURIDE,1,165
GUINGUINEO,MBOSS,MBOSS NDIAMBOUR,1,342
GUINGUINEO,MBOSS,MBOSS NDIAMBOUR,2,343
GUINGUINEO,MBOSS,MBOSS TIDIANE,1,436
GUINGUINEO,NDIAGO,DAROU DIADJI,1,247
