Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
KEDOUGOU,BANDAFASSI,BADEMBA,1,99
KEDOUGOU,BANDAFASSI,BANDAFASSI,1,427
KEDOUGOU,BANDAFASSI,BANDAFASSI,2,426
KEDOUGOU,BANDAFASSI,BAYTILAYE,1,253
KEDOUGOU,BANDAFASSI,BOUDOUCOUNDI,1,215
KEDOUGOU,BANDAFASSI,DIENDJI,1,149
KEDOUGOU,BANDAFASSI,IBEL,1,299
KEDOUGOU,BANDAFASSI,IBEL,2,296
KEDOUGOU,BANDAFASSI,ITATO,1,249
KEDOUGOU,BANDAFASSI,LAMINIYA,1,332
KEDOUGOU,BANDAFASSI,LANDE BAYTIL,1,374
KEDOUGOU,BANDAFASSI,LANDIENI PEULH,1,191
KEDOUGOU,BANDAFASSI,NIANGHE,1,112
KEDOUGOU,BANDAFASSI,SAMAL,1,153
KEDOUGOU,BANDAFASSI,SAMECOUTA,1,592
KEDOUGOU,BANDAFASSI,SINTHIOUROUDJI,1,80
KEDOUGOU,BANDAFASSI,SYLLACOUNDA DIAKHA,1,316
KEDOUGOU,BANDAFASSI,TEPEREDIANTOUM,1,22
KEDOUGOU,BANDAFASSI,THIABEDJI,1,461
KEDOUGOU,BANDAFASSI,THIANCOUMALAL,1,78
KEDOUGOU,BANDAFASSI,THIOKETIAN,1,205
KEDOUGOU,DIMBOLI,AFIA DANDE MAYO,1,571
KEDOUGOU,DIMBOLI,BARA,1,192
KEDOUGOU,DIMBOLI,DIALAYA 2,1,136
KEDOUGOU,DIMBOLI,DIAN HERI,1,159
KEDOUGOU,DIMBOLI,DIMBOLI,1,220
KEDOUGOU,DIMBOLI,DIMBOLI,2,220
KEDOUGOU,DIMBOLI,ECOLE BAMBAYA,1,134
KEDOUGOU,DIMBOLI,KAFORI,1,190
KEDOUGOU,DIMBOLI,KAFORI,2,189
KEDOUGOU,DIMBOLI,MALINDA,1,214
KEDOUGOU,DIMBOLI,MALLEME,1,157
KEDOUGOU,DIMBOLI,VELINGARA,1,179
