Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
KOLDA,BAGADAJI,ALEXANDRIE,1,166
KOLDA,BAGADAJI,BAGADAJI,1,514
KOLDA,BAGADAJI,BAGADAJI,2,514
KOLDA,BAGADAJI,ECOLE AFFIA SAMBA,1,125
KOLDA,BAGADAJI,ECOLE MEDINA FODE,1,70
KOLDA,BAGADAJI,ECOLE SARE SARA,1,181
KOLDA,BAGADAJI,IBRAHIMA NIMA,1,260
KOLDA,BAGADAJI,ILIYAO MAMADOU SEYDI,1,157
KOLDA,BAGADAJI,KAMPISSA,1,176
KOLDA,BAGADAJI,MAHON OUSMANE,1,94
KOLDA,BAGADAJI,MEDINA ABDOUL,1,153
KOLDA,BAGADAJI,MEDINA SEYDOU BA,1,275
KOLDA,BAGADAJI,MISSIRA OUSMANE,1,163
KOLDA,BAGADAJI,SALAMATA,1,304
KOLDA,BAGADAJI,SARE LOUNTANG MAMBOUA,1,202
KOLDA,BAGADAJI,SARE SANDIONG,1,194
KOLDA,BAGADAJI,SINTHIANG DEMBA BALDE,1,130
KOLDA,BAGADAJI,SINTHIANG EL HADJI SALIF,1,212
KOLDA,COUMBACARA,BAMBADINKA,1,155
KOLDA,COUMBACARA,BOUBOREL,1,126
KOLDA,COUMBACARA,COUMBACARA,1,402
KOLDA,COUMBACARA,COUMBACARA,2,402
KOLDA,COUMBACARA,DIALACOUMBI,1,166
KOLDA,COUMBACARA,DIAMBOUR KOMBO,1,236
KOLDA,COUMBACARA,ECOLE SARE ALETTE,1,179
KOLDA,COUMBACARA,ECOLE SARE MANSALI,1,180
KOLDA,COUMBACARA,MEDINA DEMBA BILLO,1,204
KOLDA,COUMBACARA,SARE NIYEL,1,229
KOLDA,COUMBACARA,THIDELLI,1,227
KOLDA,COUMBACARA,THIDELLI,2,226
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,1,459
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,2,459
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,3,460
KOLDA,DABO,ECOLE ELEMENTAIRE DABO,4,459
