Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,1,460
KEBEMER,BANDEGNE OUOLOF,BANDEGNE OUOLOF,2,460
KEBEMER,BANDEGNE OUOLOF,DARA KHARA,1,226
KEBEMER,BANDEGNE OUOLOF,DIALGANE KANE,1,84
KEBEMER,BANDEGNE OUOLOF,GUEDJI SECK,1,139
KEBEMER,BANDEGNE OUOLOF,MBADIAR,1,434
KEBEMER,BANDEGNE OUOLOF,MBENGUENE OUOLOF,1,149
KEBEMER,BANDEGNE OUOLOF,NDANGOUR NDIAYE,1,181
KEBEMER,BANDEGNE OUOLOF,NDIEYE SEFOUR,1,329
KEBEMER,BANDEGNE OUOLOF,NDOB DAROU MESSERE,1,418
KEBEMER,BANDEGNE OUOLOF,NGARAF OUOLOF,1,413
KEBEMER,BANDEGNE OUOLOF,PARBA DIENG,1,427
KEBEMER,BANDEGNE OUOLOF,PEKH TALL,1,267
KEBEMER,BANDEGNE OUOLOF,PEKH TALL,2,268
KEBEMER,BANDEGNE OUOLOF,SANTHIOU DIOCKOUL,1,111
KEBEMER,BANDEGNE OUOLOF,SIVOL PEULH,1,449
KEBEMER,BANDEGNE OUOLOF,TAYBA NDIOUGA,1,134
KEBEMER,BANDEGNE OUOLOF,THIARI LORO,1,141
KEBEMER,DAROU MARNANE,BAYTI MBARI BEYE,1,164
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,1,497
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,2,496
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,3,496
KEBEMER,DAROU MARNANE,DAROU MARNANE ECOLE,4,495
KEBEMER,DAROU MARNANE,DAROU MARNANE HOTEL COMMUNAUTA,1,130
KEBEMER,DAROU MARNANE,DEKHEULE,1,150
KEBEMER,DAROU MARNANE,FASS TOURE,1,498
KEBEMER,DAROU MARNANE,KEUR MATAR BINTA OUOLOF,1,161
KEBEMER,DAROU MARNANE,KOCKI KADE,1,187
KEBEMER,DAROU MARNANE,NDIMBOLOGNE,1,253
KEBEMER,DAROU MARNANE,TOUBA ROFF,1,236
KEBEMER,DAROU MOUSTI,ARAFAAT,1,495
KEBEMER,DAROU MOUSTI,BEUBEUNE 1,1,110
KEBEMER,DAROU MOUSTI,BOULEL SECK,1,317
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,1,431
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,2,431
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,3,431
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,4,429
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,5,430
KEBEMER,DAROU MOUSTI,CEM SERIGNE MAHMADANE MBACKE,6,431
KEBEMER,DAROU MOUSTI,DAROU DIOP,1,362
KEBEMER,DAROU MOUSTI,DAROU KRATIEL,1,269
KEBEMER,DAROU MOUSTI,DAROU RAHMANE 1,1,529
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,1,397
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,2,397
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 3,3,398
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,1,385
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,2,384
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,3,385
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE 5,4,385
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,1,424
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,2,424
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,3,423
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,4,422
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,5,423
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,6,423
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,7,423
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY ECOLE MODOU HABIB,8,424
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,1,420
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,2,421
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,3,421
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,4,421
KEBEMER,DAROU MOUSTI,DAROUL MOUHTY VETERINAIRE,5,422
KEBEMER,DAROU MOUSTI,DIVANE,1,313
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,1,411
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,2,411
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,3,410
KEBEMER,DAROU MOUSTI,ECOLE KEUR ALIOUNE NDIAYE,4,410
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,1,509
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,2,510
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,3,509
KEBEMER,DAROU MOUSTI,ECOLE SERIGNE KHALID MBACKE,4,510
KEBEMER,DAROU MOUSTI,NDANGOU OUOLOF,1,313
KEBEMER,DAROU MOUSTI,SARSARA,1,315
KEBEMER,DAROU MOUSTI,SARSARA,2,315
KEBEMER,DAROU MOUSTI,THIABOUGUEL,1,327
KEBEMER,DAROU MOUSTI,TOUBA PETEGNE,1,316
KEBEMER,DIOKOUL NDIAWRIGNE,BADAR DIOP,1,359
KEBEMER,DIOKOUL NDIAWRIGNE,DARA ANDAL,1,445
KEBEMER,DIOKOUL NDIAWRIGNE,DAROU KEBE,1,118
KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,1,502
KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,2,502
KEBEMER,DIOKOUL NDIAWRIGNE,DIOKOUL NDIAWRIGNE,3,501
KEBEMER,DIOKOUL NDIAWRIGNE,DJIGNAKH,1,271
KEBEMER,DIOKOUL NDIAWRIGNE,GADE BRAMA,1,350
KEBEMER,DIOKOUL NDIAWRIGNE,GADE KEBE,1,403
KEBEMER,DIOKOUL NDIAWRIGNE,KANENE KANE,1,320
KEBEMER,DIOKOUL NDIAWRIGNE,LOMPOUL,1,569
KEBEMER,DIOKOUL NDIAWRIGNE,MAKA LY,1,186
KEBEMER,DIOKOUL NDIAWRIGNE,NDIAVAGNE FALL,1,208
KEBEMER,DIOKOUL NDIAWRIGNE,NGUER NGUER,1,301
KEBEMER,DIOKOUL NDIAWRIGNE,TAYBA AMARI MBERI,1,324
KEBEMER,DIOKOUL NDIAWRIGNE,THIENABA,1,365
KEBEMER,DIOKOUL NDIAWRIGNE,TOUNDOU MALEYE,1,88
KEBEMER,GUEOUL,ECOLE GUEOUL 1,1,479
KEBEMER,GUEOUL,ECOLE GUEOUL 1,2,479
KEBEMER,GUEOUL,ECOLE GUEOUL 2,1,468
KEBEMER,GUEOUL,ECOLE GUEOUL 2,2,469
KEBEMER,GUEOUL,ECOLE GUEOUL 3,1,578
KEBEMER,GUEOUL,ECOLE GUEOUL 4,1,412
KEBEMER,GUEOUL,ECOLE GUEOUL 4,2,411
KEBEMER,GUEOUL,FOYER DES JEUNES,1,422
KEBEMER,GUEOUL,FOYER DES JEUNES,2,422
KEBEMER,KAB GAYE,DAROU DIA,1,217
KEBEMER,KAB GAYE,KAB GAYE,1,484
KEBEMER,KAB GAYE,KEUR MBAYE NDAO,1,107
KEBEMER,KAB GAYE,LAMBANE VILANE,1,402
KEBEMER,KAB GAYE,LOMPOUL,1,495
KEBEMER,KAB GAYE,LOMPOUL,2,494
KEBEMER,KAB GAYE,MERINA NDIAYE,1,151
KEBEMER,KAB GAYE,NGATT OUOLOF,1,227
KEBEMER,KAB GAYE,NGUEBAL,1,293
KEBEMER,KAB GAYE,TALENE GAYE,1,428
KEBEMER,KAB GAYE,TAVA FALL,1,300
KEBEMER,KAB GAYE,TEUMB MBAYE,1,239
KEBEMER,KAB GAYE,THIAKHAO GAYE,1,259
KEBEMER,KAB GAYE,TOURE NGUEUNE,1,85
KEBEMER,KANENE NDIOB,AFE 2,1,318
KEBEMER,KANENE NDIOB,DEKHOLE SOW,1,162
KEBEMER,KANENE NDIOB,ECOLE KANENE NDIOB,1,363
KEBEMER,KANENE NDIOB,ECOLE KANENE NDIOB,2,363
KEBEMER,KANENE NDIOB,ECOLE KANENE NDIOB,3,363
KEBEMER,KANENE NDIOB,KANENE NIER,1,326
KEBEMER,KANENE NDIOB,KHELI THIOUB,1,304
KEBEMER,KANENE NDIOB,KHOUROUF SOW,1,186
KEBEMER,KANENE NDIOB,MBOREFOU LO,1,137
KEBEMER,KANENE NDIOB,NDIOB SAMB,1,142
KEBEMER,KANENE NDIOB,NGUENE SEYE,1,162
KEBEMER,KANENE NDIOB,NGUIMBE PEULH,1,279
KEBEMER,KANENE NDIOB,NIER CISSE OUOLOF,1,293
KEBEMER,KANENE NDIOB,SANTHIOU NDIOB,1,277
KEBEMER,KANENE NDIOB,THISS SALL,1,177
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,1,583
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,2,583
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,3,583
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,4,583
KEBEMER,KEBEMER,C E M MACODOU KANGHE SALL,5,583
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,1,600
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,2,600
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,3,599
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,4,461
KEBEMER,KEBEMER,CENTRE ENSEIGNEMENT TECHNIQUE FEMININ,5,459
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,1,552
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,2,553
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,3,550
KEBEMER,KEBEMER,ECOLE CHEIKH IBRA FAYE,4,376
KEBEMER,KEBEMER,ECOLE KEBEMER 5,1,600
KEBEMER,KEBEMER,ECOLE KEBEMER 5,2,600
KEBEMER,KEBEMER,ECOLE KEBEMER 5,3,561
KEBEMER,KEBEMER,ECOLE MATERNELLE,1,549
KEBEMER,KEBEMER,ECOLE MATERNELLE,2,547
KEBEMER,KEBEMER,ECOLE MATERNELLE,3,548
KEBEMER,KEBEMER,ECOLE MATERNELLE,4,430
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,1,600
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,2,599
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,3,599
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,4,390
KEBEMER,KEBEMER,ECOLE PAPA AMADOU DIAO,5,390
KEBEMER,KEBEMER,NDAKHAR LAMANE,1,370
KEBEMER,KEBEMER,TOBBI DIOP,1,350
KEBEMER,LORO,BAYTI MBEUSSINE,1,182
KEBEMER,LORO,DIORO MAMA NDIAYE,1,222
KEBEMER,LORO,ECOLE LORO THIECKENE,1,266
KEBEMER,LORO,ECOLE LORO THIECKENE,2,266
KEBEMER,LORO,KABDOU,1,237
KEBEMER,LORO,KEUR AMADOU YALA,1,267
KEBEMER,LORO,KEUR AMADOU YALA,2,266
KEBEMER,LORO,KEUR SANOU DIENG,1,116
KEBEMER,LORO,LORO NGUEYENE,1,239
KEBEMER,LORO,LORO NGUEYENE,2,239
KEBEMER,LORO,MBAR SECK,1,194
KEBEMER,LORO,MERINA KA TIDIANE,1,499
KEBEMER,LORO,NDAM THILLA,1,115
KEBEMER,LORO,TAYIF NGANADO,1,103
