Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
KANEL,AOURE,AOURE,1,520
KANEL,AOURE,AOURE,2,520
KANEL,AOURE,AOURE,3,516
KANEL,AOURE,AOURE,4,519
KANEL,AOURE,AOURE,5,519
KANEL,AOURE,AOURE,6,518
KANEL,AOURE,BOKISSABOUDOU,1,255
KANEL,AOURE,BOULBI,1,320
KANEL,AOURE,DIALLOUBE,1,556
KANEL,AOURE,DIALLOUBE,2,554
KANEL,AOURE,DIAMOUGUEL,1,441
KANEL,AOURE,DIAMOUGUEL,2,440
KANEL,AOURE,DIAMOUGUEL,3,440
KANEL,AOURE,DIAOBE KOBILO,1,504
KANEL,AOURE,DOUDE BAGUE,1,317
KANEL,AOURE,DOUNDE,1,379
KANEL,AOURE,DOUNDE,2,379
KANEL,AOURE,DOUNDE,3,379
KANEL,AOURE,GODIOVEL,1,300
KANEL,AOURE,NDIOTT,1,380
KANEL,AOURE,NDIOTT,2,379
KANEL,AOURE,NIANGANA THIEDEL,1,172
KANEL,AOURE,PATOUKI ORIENTAL,1,138
KANEL,AOURE,SINDOU,1,211
KANEL,AOURE,VALEL,1,367
KANEL,AOURE,VALEL,2,368
KANEL,AOURE,YERIMALE TOROBE,1,505
KANEL,AOURE,YERIMALE TOROBE,2,504
KANEL,BOKILADJI,ADABERE,1,458
KANEL,BOKILADJI,ADABERE,2,456
KANEL,BOKILADJI,ALANA,1,430
KANEL,BOKILADJI,APPE DIAOUBE,1,399
KANEL,BOKILADJI,APPE DIAOUBE,2,274
KANEL,BOKILADJI,BABANGOL,1,417
KANEL,BOKILADJI,BOKILADJI,1,491
KANEL,BOKILADJI,BOKILADJI,2,490
KANEL,BOKILADJI,BOKILADJI,3,489
KANEL,BOKILADJI,BONDJI WALI,1,289
KANEL,BOKILADJI,BONDJI WALI,2,289
KANEL,BOKILADJI,BONDJI WALI,3,288
KANEL,BOKILADJI,FADIARA,1,314
KANEL,BOKILADJI,GANGUEL MAKA,1,485
KANEL,BOKILADJI,GANGUEL MAKA,2,485
KANEL,BOKILADJI,GAOUDE BOFFE,1,309
KANEL,BOKILADJI,GAOUDE BOFFE,2,309
KANEL,BOKILADJI,KAWAL,1,545
KANEL,BOKILADJI,LOBALI,1,590
KANEL,BOKILADJI,LOBALI,2,589
KANEL,BOKILADJI,OURO MBOULEL,1,465
KANEL,BOKILADJI,SINTHIOU FADIARA,1,384
KANEL,BOKILADJI,SINTHIOU FADIARA,2,308
KANEL,BOKILADJI,THIAGNAF,1,495
KANEL,BOKILADJI,YACINE LACKE,1,424
KANEL,BOKILADJI,YACINE LACKE,2,424
KANEL,BOKILADJI,YACINE LACKE,3,424
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,1,486
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,2,487
KANEL,DEMBANCANE,DEMBANCANE ECOLE ELEMENTAIRE 1,3,483
