Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
DAGANA,BOKHOL,ARRIVELE 1,1,394
DAGANA,BOKHOL,ARRIVELE 2,1,123
DAGANA,BOKHOL,BELEL GAOUDI,1,447
DAGANA,BOKHOL,BELEL HARMANABE,1,120
DAGANA,BOKHOL,BOKHOL,1,599
DAGANA,BOKHOL,BOKHOL,2,599
DAGANA,BOKHOL,BOKHOL,3,599
DAGANA,BOKHOL,BOKHOL,4,599
DAGANA,BOKHOL,BOKHOL,5,598
DAGANA,BOKHOL,DAR ES SALAM,1,184
DAGANA,BOKHOL,DIAVALEDJI,1,82
DAGANA,BOKHOL,GALLODJINA 1,1,411
DAGANA,BOKHOL,GUEUM YALLA,1,195
DAGANA,BOKHOL,GUIDAKHAR,1,274
DAGANA,BOKHOL,GUIDAKHAR,2,274
DAGANA,BOKHOL,KEUR MALAL TALAB,1,423
DAGANA,BOKHOL,KEUR MBAYE 1,1,437
DAGANA,BOKHOL,KEUR MBAYE NDIOGOU,1,210
DAGANA,BOKHOL,KEUR MBAYE PEULH,1,247
DAGANA,BOKHOL,KEUR MOR IBRA,1,118
DAGANA,BOKHOL,KHARE,1,311
DAGANA,BOKHOL,LOUMBOUL SOUMANABE,1,264
DAGANA,BOKHOL,MBILOR,1,340
DAGANA,BOKHOL,MBILOR,2,339
DAGANA,BOKHOL,MERY,1,218
DAGANA,BOKHOL,MERY,2,217
DAGANA,BOKHOL,NDIODOUNE,1,73
DAGANA,BOKHOL,SOVONABE 2,1,95
DAGANA,BOKHOL,SOVONABE VENDOU FANDOU,1,103
DAGANA,BOKHOL,TOUCOULEUR DJIDIERI,1,312
DAGANA,BOKHOL,VINDOU FANDOU SAM,1,75
DAGANA,DAGANA,ECOLE ALGOR DIOUM,1,600
DAGANA,DAGANA,ECOLE ALGOR DIOUM,2,600
DAGANA,DAGANA,ECOLE ALGOR DIOUM,3,600
DAGANA,DAGANA,ECOLE ALGOR DIOUM,4,600
DAGANA,DAGANA,ECOLE ALGOR DIOUM,5,600
DAGANA,DAGANA,ECOLE ALGOR DIOUM,6,599
DAGANA,DAGANA,ECOLE ALGOR DIOUM,7,564
DAGANA,DAGANA,ECOLE ALGOR DIOUM,8,563
DAGANA,DAGANA,ECOLE ALGOR DIOUM,9,564
DAGANA,DAGANA,ECOLE ALGOR DIOUM,10,564
DAGANA,DAGANA,ECOLE ALIOUNE SARR,1,599
DAGANA,DAGANA,ECOLE ALIOUNE SARR,2,601
DAGANA,DAGANA,ECOLE ALIOUNE SARR,3,599
DAGANA,DAGANA,ECOLE ALIOUNE SARR,4,317
DAGANA,DAGANA,ECOLE ALIOUNE SARR,5,317
DAGANA,DAGANA,ECOLE ALIOUNE SARR,6,316
DAGANA,DAGANA,ECOLE ALIOUNE SARR,7,316
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,1,543
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,2,543
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,3,541
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,4,542
DAGANA,DAGANA,ECOLE ALIOUNE SOW MBANA,5,344
DAGANA,DAGANA,ECOLE MEDINA CHERIF,1,454
DAGANA,DAGANA,ECOLE MEDINA CHERIF,2,453
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,1,579
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,2,580
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,3,580
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,4,579
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,5,579
DAGANA,DAGANA,LYCEE ALPHA MAYORO WELLE,6,579
DAGANA,DIAMA,AL WATHIAM,1,226
DAGANA,DIAMA,ASSITOYE,1,235
DAGANA,DIAMA,DEBI,1,405
DAGANA,DIAMA,DEBI,2,404
DAGANA,DIAMA,DEMIZINE,1,218
DAGANA,DIAMA,DIADIAM 1,1,282
DAGANA,DIAMA,DIADIAM 3,1,230
DAGANA,DIAMA,DIAGAMBAL 1,1,401
DAGANA,DIAMA,DIAGAMBAL 1,2,400
DAGANA,DIAMA,DIAGAMBAL 2,1,396
DAGANA,DIAMA,DIAMA YALAR,1,507
DAGANA,DIAMA,DIAMA YALAR,2,506
DAGANA,DIAMA,DIAMA YALAR,3,506
DAGANA,DIAMA,EL DEBOUBACK 1,1,484
DAGANA,DIAMA,EL DEBOUBACK 2,1,137
DAGANA,DIAMA,EL NGOURANE 1,1,216
DAGANA,DIAMA,MBOUBENE PEULH,1,252
DAGANA,DIAMA,MBOUNDOUM BARRAGE,1,560
DAGANA,DIAMA,MBOUNDOUM BARRAGE,2,562
DAGANA,DIAMA,MBOUNDOUM BARRAGE,3,562
DAGANA,DIAMA,NDELLE,1,419
DAGANA,DIAMA,NDELLE,2,417
DAGANA,DIAMA,NDIAYE NGUINT,1,494
DAGANA,DIAMA,NDIAYE NGUINT,2,494
DAGANA,DIAMA,NDIOL MAURE,1,389
DAGANA,DIAMA,NDIOL MAURE,2,389
DAGANA,DIAMA,NDIOUNGUE MBERESSE,1,312
DAGANA,DIAMA,NDIOUNGUE MBERESSE,2,312
DAGANA,DIAMA,NIASSENE,1,319
DAGANA,DIAMA,NIASSENE,2,318
DAGANA,DIAMA,ODABE NAWAR 1,1,258
DAGANA,DIAMA,OUMARNABE NGUINT,1,82
DAGANA,DIAMA,OURO L ISLAM,1,129
DAGANA,DIAMA,PEULH DIOSS,1,438
DAGANA,DIAMA,PEULH DIOSS,2,197
DAGANA,DIAMA,POLO,1,408
DAGANA,DIAMA,RAYNABE 2,1,154
DAGANA,DIAMA,SAVOIGNE PIONNIERS,1,425
DAGANA,DIAMA,SAVOIGNE PIONNIERS,2,425
DAGANA,DIAMA,SAVOIGNE PIONNIERS,3,427
DAGANA,DIAMA,TABA DAROUSSALAM 1,1,342
DAGANA,DIAMA,TABA TACHE,1,304
DAGANA,DIAMA,TABA TACHE,2,304
DAGANA,DIAMA,TABA TREICH,1,397
DAGANA,DIAMA,THILENE,1,409
DAGANA,DIAMA,THILENE,2,409
DAGANA,DIAMA,THILENE,3,408
DAGANA,DIAMA,TIGUET,1,420
DAGANA,GAE,GAE,1,509
DAGANA,GAE,GAE,2,512
DAGANA,GAE,GAE,3,509
DAGANA,GAE,GAE,4,510
DAGANA,GAE,GAE,5,508
DAGANA,GAE,GAE,6,510
DAGANA,GAE,GAE,7,509
DAGANA,GAE,GAE,8,509
DAGANA,GAE,GAE,9,507
DAGANA,GAE,GOUMEL,1,136
DAGANA,GAE,NDIAREME,1,515
DAGANA,GAE,NDIAREME,2,515
