Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
BOUNKILING,BOGHAL,BOGHAL FOLOLO ISMAILA,1,440
BOUNKILING,BOGHAL,BOGHAL FOLOLO ISMAILA,2,440
BOUNKILING,BOGHAL,DIAHIDINA,1,150
BOUNKILING,BOGHAL,ECOLE DE BOUFARA,1,151
BOUNKILING,BOGHAL,ECOLE DE DAROU BAIDA,1,288
BOUNKILING,BOGHAL,ECOLE DE RYATT,1,269
BOUNKILING,BOGHAL,ECOLE DE SARE DEMBA NDIADO,1,516
BOUNKILING,BOGHAL,MEDINA MODOU LOUM,1,146
BOUNKILING,BOGHAL,NDIOLOFENE,1,259
BOUNKILING,BOGHAL,NDIOLOFENE,2,259
BOUNKILING,BOGHAL,NIAFOUGNE,1,157
BOUNKILING,BOGHAL,SARE ALCALY,1,245
BOUNKILING,BOGHAL,SARE ALCALY,2,245
BOUNKILING,BOGHAL,SARE ALCALY,3,244
BOUNKILING,BOGHAL,SARE NDIAGA,1,480
BOUNKILING,BOGHAL,SARE SIDI,1,208
BOUNKILING,BOGHAL,SENOBA,1,366
BOUNKILING,BOGHAL,SENOBA,2,366
BOUNKILING,BONA,BONA,1,426
BOUNKILING,BONA,BONA,2,426
BOUNKILING,BONA,BONA,3,361
BOUNKILING,BONA,BOUGHARI DOUMA,1,103
BOUNKILING,BONA,BOUGHARI DOUMA,2,103
BOUNKILING,BONA,BOUGHARY,1,158
BOUNKILING,BONA,BRIOU,1,167
BOUNKILING,BONA,DJINIPER KILINKO,1,113
BOUNKILING,BONA,DJIRAGONE,1,369
BOUNKILING,BONA,DJIRAGONE,2,369
BOUNKILING,BONA,KAPOUNDOUN DIOLA,1,150
BOUNKILING,BONA,NIAHOUMP,1,294
BOUNKILING,BONA,SOUMBOUNDOU FOGNI,1,289
BOUNKILING,BONA,SOUMBOUNDOU FOGNI,2,288
BOUNKILING,BOUNKILING,BOUNKILING,1,518
BOUNKILING,BOUNKILING,BOUNKILING,2,519
BOUNKILING,BOUNKILING,BOUNKILING,3,518
BOUNKILING,BOUNKILING,BOUNKILING,4,518
BOUNKILING,BOUNKILING,BOUNKILING,5,518
BOUNKILING,BOUNKILING,ECOLE DE KEGNETO,1,426
BOUNKILING,DIACOUNDA,ALOUTE MANDINGUE,1,365
BOUNKILING,DIACOUNDA,BISSARY DIOUB,1,348
BOUNKILING,DIACOUNDA,DIACOUNDA,1,369
BOUNKILING,DIACOUNDA,DIACOUNDA,2,369
BOUNKILING,DIACOUNDA,DJIENDIEME,1,254
BOUNKILING,DIACOUNDA,KOUMBAGHOR,1,182
BOUNKILING,DIACOUNDA,MAFONGO,1,249
BOUNKILING,DIACOUNDA,NIOROKI,1,201
BOUNKILING,DIACOUNDA,SITA,1,119
BOUNKILING,DIACOUNDA,YACKO OUOLOF,1,198
BOUNKILING,DIAMBATY,BADION LISS,1,162
BOUNKILING,DIAMBATY,BANANA,1,216
BOUNKILING,DIAMBATY,BAYAMBA,1,446
BOUNKILING,DIAMBATY,DAROU SALAM CISSE,1,458
BOUNKILING,DIAMBATY,DIALAMBERE,1,116
BOUNKILING,DIAMBATY,DIAMBATI,1,469
BOUNKILING,DIAMBATY,DIANNAH SONCODOU,1,338
BOUNKILING,DIAMBATY,KOUKOUYE,1,100
BOUNKILING,DIAMBATY,MISSIRA SONCODOU,1,247
BOUNKILING,DIAMBATY,SARE ILO,1,197
BOUNKILING,DIAMBATY,SYLLACOUNDA,1,216
BOUNKILING,DIAMBATY,TOUBA MORICOUNDA,1,87
BOUNKILING,DIAMBATY,TOUBA MORICOUNDA,2,86
BOUNKILING,DIAROUME,BAGADADJI,1,186
BOUNKILING,DIAROUME,BAGADADJI,2,186
BOUNKILING,DIAROUME,BANTANTO,1,362
BOUNKILING,DIAROUME,BISSARI LANG,1,150
BOUNKILING,DIAROUME,DIAROUME,1,491
BOUNKILING,DIAROUME,DIAROUME,2,490
BOUNKILING,DIAROUME,DIAROUME,3,489
BOUNKILING,DIAROUME,KANDIADIOU,1,219
BOUNKILING,DIAROUME,KANDIADIOU,2,219
BOUNKILING,DIAROUME,KANDIOUNKOU,1,247
BOUNKILING,DIAROUME,KANDIOUNKOU,2,247
BOUNKILING,DIAROUME,KOUSSAOR,1,223
BOUNKILING,DIAROUME,MANCONTON,1,225
BOUNKILING,DIAROUME,NDIAGNENE,1,229
BOUNKILING,DIAROUME,NDIAMA,1,371
BOUNKILING,DIAROUME,NDIAMA,2,370
BOUNKILING,DIAROUME,NDIAMA,3,369
BOUNKILING,DIAROUME,NDIAMA,4,368
BOUNKILING,DIAROUME,NIANDANKI,1,402
BOUNKILING,DIAROUME,SOUAKI,1,310
BOUNKILING,DIAROUME,TOUBA DIASSOR,1,339
BOUNKILING,DJINANY,BANDOUMBA MAMADOU,1,255
BOUNKILING,DJINANY,DJINANI,1,446
BOUNKILING,DJINANY,ECOLE DE MANSABANG,1,321
BOUNKILING,DJINANY,GASSIKON MANDINGUE,1,123
BOUNKILING,DJINANY,KAMBALEBA,1,175
BOUNKILING,FAOUNE,FAOUNE,1,397
BOUNKILING,FAOUNE,FAOUNE,2,397
BOUNKILING,FAOUNE,FAOUNE,3,396
BOUNKILING,FAOUNE,MADINA BOCAR SY,1,421
BOUNKILING,FAOUNE,MADINA BOCAR SY,2,421
BOUNKILING,FAOUNE,MADINA DEMBA GANO,1,421
BOUNKILING,FAOUNE,SARE DEMBA THIOUNE,1,265
BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,1,290
BOUNKILING,FAOUNE,SINTHIOU ALIMOU BARRY,2,289
BOUNKILING,FAOUNE,TOUBA MOURIDE,1,423
BOUNKILING,FAOUNE,TOUBA MOURIDE,2,422
BOUNKILING,FAOUNE,TOUBA MOURIDE,3,422
BOUNKILING,INOR,BARANDAMA,1,96
BOUNKILING,INOR,BASSADA,1,95
