Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
BAKEL,BAKEL,ECOLE 3,1,555
BAKEL,BAKEL,ECOLE 3,2,555
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,1,513
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,2,512
BAKEL,BAKEL,ECOLE AMADOU WARANKA NDIAYE,3,511
BAKEL,BAKEL,ECOLE IBRAHIMA MALAL DIAMAN BATHILY,1,481
BAKEL,BAKEL,ECOLE IBRAHIMA ND. BATHILY,1,411
BAKEL,BAKEL,ECOLE IBRAHIMA ND. BATHILY,2,410
BAKEL,BAKEL,MAIRIE,1,436
BAKEL,BAKEL,MAIRIE,2,436
BAKEL,BAKEL,MAIRIE,3,435
BAKEL,BAKEL,MAIRIE,4,435
BAKEL,BAKEL,MAIRIE,5,434
BAKEL,BAKEL,THEATRE DE VERDURE,1,600
BAKEL,BAKEL,THEATRE DE VERDURE,2,380
BAKEL,BALLOU,AROUNDOU,1,563
BAKEL,BALLOU,AROUNDOU,2,563
BAKEL,BALLOU,BALLOU,1,576
BAKEL,BALLOU,BALLOU,2,578
BAKEL,BALLOU,BALLOU,3,577
BAKEL,BALLOU,DEBECOULE,1,254
BAKEL,BALLOU,DEDJI,1,327
BAKEL,BALLOU,DJIMBE,1,327
BAKEL,BALLOU,GOLMI,1,469
BAKEL,BALLOU,GOLMI,2,470
BAKEL,BALLOU,GOLMI,3,470
BAKEL,BALLOU,GOLMI,4,470
BAKEL,BALLOU,HAMADJI,1,268
BAKEL,BALLOU,KOUNGANY,1,405
BAKEL,BALLOU,KOUNGANY,2,405
BAKEL,BALLOU,KOUNGANY,3,403
BAKEL,BALLOU,SEBOU,1,266
BAKEL,BALLOU,YAFERA,1,402
BAKEL,BALLOU,YAFERA,2,401
BAKEL,BELE,ARI HARA,1,144
BAKEL,BELE,ARIGABO,1,243
BAKEL,BELE,BELE,1,552
BAKEL,BELE,DAHARATOU,1,354
BAKEL,BELE,DAHARATOU,2,353
