Departement,Collectivite,Lieu de vote,Bureau de votes,Nombre electeur
MBOUR,DIASS,BANDIA BAMBARA,1,336
MBOUR,DIASS,BANDIA SESSENE,1,461
MBOUR,DIASS,BOUKHOU,1,410
MBOUR,DIASS,BOUKHOU,2,409
MBOUR,DIASS,BOUKHOU,3,409
MBOUR,DIASS,DAGGA,1,325
MBOUR,DIASS,DAGGA,2,325
MBOUR,DIASS,DIASS,1,574
MBOUR,DIASS,DIASS,2,574
MBOUR,DIASS,DIASS,3,574
MBOUR,DIASS,DIASS,4,574
MBOUR,DIASS,DIASS,5,574
MBOUR,DIASS,DIASS NGAM,1,456
MBOUR,DIASS,DIASS NGAM,2,455
MBOUR,DIASS,DOBOUR,1,225
MBOUR,DIASS,ECOLE KANDAM,1,384
MBOUR,DIASS,ECOLE KANDAM,2,384
MBOUR,DIASS,GANDOUL,1,318
MBOUR,DIASS,KHOLPA,1,443
MBOUR,DIASS,KIRENE,1,542
MBOUR,DIASS,KIRENE,2,543
MBOUR,DIASS,MBAYARD,1,469
MBOUR,DIASS,PACKY,1,386
MBOUR,DIASS,PACKY,2,385
MBOUR,DIASS,RAFFO,1,228
MBOUR,DIASS,SAMKEDJ,1,368
MBOUR,DIASS,SAMKEDJ,2,368
MBOUR,DIASS,THICKY,1,562
MBOUR,DIASS,THICKY,2,561
MBOUR,DIASS,THICKY,3,560
MBOUR,DIASS,TOGLOU OUOLOF,1,294
MBOUR,DIASS,TOGLOU OUOLOF,2,292
MBOUR,DIASS,TOGLOU SERERE,1,507
MBOUR,DIASS,TOGLOU SERERE,2,505
MBOUR,DIASS,TOGLOU SERERE,3,506
MBOUR,FISSEL,BACK,1,453
MBOUR,FISSEL,BADD,1,457
MBOUR,FISSEL,CISSIS,1,290
MBOUR,FISSEL,CISSIS,2,290
MBOUR,FISSEL,DIOB,1,264
MBOUR,FISSEL,FISSEL,1,562
MBOUR,FISSEL,FISSEL,2,561
MBOUR,FISSEL,FISSEL SERERE,1,404
MBOUR,FISSEL,FISSEL SERERE,2,404
MBOUR,FISSEL,KHAOUL GODOGUENE,1,275
MBOUR,FISSEL,KHAOUL GODOGUENE,2,275
MBOUR,FISSEL,KHAOUL GODOGUENE,3,274
MBOUR,FISSEL,KHAOUL TOC NGOL,1,355
MBOUR,FISSEL,KOBORANE,1,125
MBOUR,FISSEL,LAMBAYENE,1,427
MBOUR,FISSEL,LANGHOMACK,1,375
MBOUR,FISSEL,MBALACAM,1,267
MBOUR,FISSEL,MBALAMSONE,1,343
MBOUR,FISSEL,MBALAMSONE,2,343
MBOUR,FISSEL,MBEDAP,1,167
MBOUR,FISSEL,MBELLANGHOUT,1,223
MBOUR,FISSEL,MBOUFOUDJI,1,332
MBOUR,FISSEL,MBOUFOUDJI,2,331
MBOUR,FISSEL,MBOULOUCTENE SECCO,1,280
MBOUR,FISSEL,MEDINE,1,431
MBOUR,FISSEL,NDAGDAM,1,242
MBOUR,FISSEL,NDIASSANE,1,348
MBOUR,FISSEL,NDIASSANE,2,348
MBOUR,FISSEL,NDIASSANE KEUR NDIOUMA,1,152
MBOUR,FISSEL,NDOFFANE,1,282
MBOUR,FISSEL,NDOUNGH,1,427
MBOUR,FISSEL,NDOUNGH,2,426
MBOUR,FISSEL,NDOYOMBOUTH,1,248
MBOUR,FISSEL,NGHONEME,1,230
MBOUR,FISSEL,NGUERANE,1,146
MBOUR,FISSEL,SASSAKH,1,156
MBOUR,FISSEL,SASSAL,1,213
MBOUR,FISSEL,SOP,1,452
MBOUR,FISSEL,SOP,2,452
MBOUR,FISSEL,TOCOMACK,1,537
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,1,595
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,2,595
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,3,593
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,4,595
MBOUR,JOAL FADIOUTH,CEM LAMINE SENGHOR,5,595
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,1,287
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,2,287
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,3,287
MBOUR,JOAL FADIOUTH,CENTRE SOCIAL THERESE GUIDE NDIAYE,4,287
